,Day of Week,Tenure Group,Email Domain,Age Group,Gender,Type,Subject Id
53,5.428000000000001,0.0,0.0,0.0,0.0,0.0,0.0
54,1.98,0.0,0.0,0.0,0.0,0.0,0.0
55,0.0,0.0,2.00398896,0.0,0.0,0.0,0.0
56,1.06,0.0,0.0,0.0,0.0,0.0,0.0
57,-0.1,2.3066455642736643,0.0,0.0,0.0,0.0,0.0
58,-0.1,3.1213488,0.0,0.0,0.0,0.0,0.0
59,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,-0.1,-0.1,-0.1,-0.04000000000000001,0.0,0.0,0.0
61,5.570279187763201,0.0,0.0,0.0,0.0,0.0,0.0
62,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0
63,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
64,-0.1,2.0316,0.0,0.0,0.0,0.0,0.0
65,5.508000000000001,0.0,0.0,0.0,0.0,0.0,0.0
66,-0.1,0.9417317760000004,0.0,0.0,0.0,0.0,0.0
67,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
68,-0.04000000000000001,7.32,0.0,0.0,0.0,0.0,0.0
69,4.648882804399361,0.0,0.0,0.0,0.0,0.0,0.0
70,-0.1,5.780000000000001,0.0,0.0,0.0,0.0,0.0
71,2.76656944,3.0,0.0,0.0,0.0,0.0,0.0
72,1.1175760000000001,0.0,0.0,0.0,0.0,0.0,0.0
73,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,2.9101600000000003,0.0,0.0,0.0,0.0,0.0,0.0
75,5.988643442216296,0.0,0.0,0.0,0.0,0.0,0.0
76,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
77,-0.1,1.16584,0.0,0.0,0.0,0.0,0.0
78,1.0,0.0,0.0,0.0,0.0,0.0,0.0
79,-0.1,1.3327287097372673,0.0,0.0,0.0,0.0,0.0
80,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0
81,-0.1,3.18,0.0,0.0,0.0,0.0,0.0
82,-0.1,-0.1,-0.1,0.0,0.0,0.0,0.0
83,-0.1,11.165168000000001,0.0,0.0,0.0,0.0,0.0
84,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
85,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
86,-0.0952,-0.1,0.0,0.0,0.0,0.0,0.0
87,1.8636,0.0,0.0,0.0,0.0,0.0,0.0
88,-0.1,0.0,-0.1,0.0,0.0,0.0,2.7640000000000002
89,8.712834816,0.0,0.0,0.0,0.0,0.0,0.0
90,-0.04000000000000001,5.4,0.0,0.0,0.0,0.0,1.0
91,1.0,0.0,0.0,0.0,0.0,0.0,0.0
92,3.0,3.0,0.0,0.0,0.0,0.0,0.0
93,-0.1,3.0,0.0,0.0,0.0,0.0,0.0
94,-0.1,9.869834879999999,0.0,0.0,0.0,0.0,1.183816
95,3.0,0.0,0.0,0.0,0.0,0.0,0.0
96,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
97,-0.1,1.0,0.0,0.0,0.0,0.0,0.0
98,0.0,3.0,0.0,0.0,0.0,0.0,0.0
99,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,-0.1,-0.0964816,0.07998822988799999,0.0,0.0,-0.1,0.0
101,-0.1,3.071448,0.0,0.0,0.0,-0.1,0.0
102,-0.1,-0.04000000000000001,-0.029199999999999993,0.0,0.0,0.0,0.0
103,-0.1,1.17448,0.0,0.0,0.0,0.0,0.0
104,-0.1,0.1956013827072001,0.0,0.0,0.0,0.0,0.0
105,0.7037621933312002,0.0,0.0,0.0,0.0,0.0,0.0
106,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
107,-0.1,12.483417600000001,0.0,0.0,0.0,0.0,0.0
108,-0.1,5.863523068800001,0.0,1.0,0.0,0.0,0.0
109,1.0,0.0,0.0,0.0,0.0,0.0,0.0
110,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
111,5.4,0.0,0.0,0.0,0.0,0.0,0.0
112,9.79696,0.0,0.0,0.0,0.0,0.0,0.0
113,1.0,0.0,0.0,0.0,0.0,0.0,0.0
114,3.98,0.0,0.0,0.0,0.0,0.0,0.0
115,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,-0.1,2.3255452800000005,0.0,0.0,0.0,0.0,0.0
118,-0.1,3.07944,0.0,0.0,0.0,0.0,0.0
119,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
120,5.999676665476395,0.0,0.0,0.0,0.0,0.0,0.0
121,4.850982316800001,0.0,0.0,0.0,0.0,0.0,0.0
122,-0.1,1.1564944000000001,0.0,0.0,0.0,5.644,0.0
123,7.32,0.0,0.0,0.0,0.0,0.0,0.0
124,-0.1,1.956,0.0,0.0,0.0,0.0,0.0
125,3.18,0.0,0.0,0.0,0.0,0.0,0.0
126,-0.1,-0.04000000000000001,0.0,0.0,0.0,0.0,0.0
127,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,3.3240000000000003,0.0,0.0,0.0,0.0,0.0,0.0
129,3.0,0.0,0.0,0.0,0.0,0.0,0.0
130,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,3.4000000000000004,0.0,0.0,0.0,0.0,0.0,0.0
132,3.18,0.0,0.0,0.0,0.0,0.0,0.0
133,3.0,0.0,0.0,0.0,0.0,0.0,0.0
134,1.1800000000000002,0.0,0.0,0.0,0.0,0.0,0.0
135,5.8091666976,0.0,0.0,0.0,0.0,0.0,0.0
136,3.3349427904000004,0.0,0.0,0.0,0.0,0.0,0.0
137,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
138,3.133600000000001,0.0,0.0,0.0,0.0,0.0,0.0
139,1.0,0.0,0.0,0.0,0.0,0.0,0.0
140,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0
141,8.045158429736961,0.0,1.0,0.0,0.0,0.0,0.0
142,-0.1,-0.1,-0.1,-0.1,0.0,0.0,0.0
143,2.5996,0.0,0.0,0.0,0.0,0.0,0.0
144,-0.1,2.0182320000000002,0.0,0.0,0.0,0.0,0.0
145,1.0,0.0,0.0,0.0,0.0,0.0,0.0
146,-0.1,-0.04000000000000001,1.0,0.0,0.0,0.0,0.0
147,3.18,0.0,0.0,0.0,0.0,0.0,0.0
148,3.0,0.0,0.0,0.0,3.2297952000000003,0.0,0.0
149,0.0,0.0,0.0,0.0,0.0,1.1800000000000002,0.0
